context,p(reform)
accurate,0.3611245187435023
articulate,0.282110887644722
avoid-misgendering,0.45341939523868735
avoid-overly-PC,0.324365661703655
biological-differences,0.24741108269496417
conservative,0.2653896279815813
correct,0.29235845568684643
gender-continuum,0.385723345390462
grammatical,0.2749314959537147
inclusive,0.4340474469401643
liberal,0.2990217428116083
linguistically valid,0.28933941479960934
natural,0.2866213393876626
progressive,0.3282145804272993
standard,0.28292721796634834
traditional-values,0.24929882885574933
