name,item,form_set,perm,way_of_asking,context,prompt_text,model,logprobs_dict
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -10.619391441345215, 'anchorman': -14.304564933292568, 'anchorwoman': -17.585971313063055}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -10.45501708984375, 'anchorman': -14.083547428250313, 'anchorwoman': -16.553124794270843}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -11.109806060791016, 'anchorman': -14.415472417604178, 'anchorwoman': -17.474689839873463}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -10.870931625366211, 'anchorman': -14.360727046616375, 'anchorwoman': -17.7217515418306}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -11.123618125915527, 'anchorman': -14.628401983296499, 'anchorwoman': -18.138980688061565}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -11.649199485778809, 'anchorman': -14.177873433101922, 'anchorwoman': -18.276307878550142}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -11.046875, 'anchorman': -14.414887497201562, 'anchorwoman': -18.075852781068534}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -12.328417778015137, 'anchorman': -16.060900136828423, 'anchorwoman': -18.970825317315757}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -12.528446197509766, 'anchorman': -15.452390185091645, 'anchorwoman': -19.261283539235592}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-2-7B,"{'anchor': -11.596023559570312, 'anchorman': -14.905809292104095, 'anchorwoman': -18.380784339271486}"
