,name,item,context,way_of_asking,p(reform)
0,Aaron,businessperson,choices-all-terms,best_complete,0.7718726574977565
1,Aaron,businessperson,choices-all-terms,best_refer,0.8373892896610161
2,Aaron,businessperson,choices-all-terms,direct,0.6220004819439995
3,Aaron,businessperson,choices-all-terms,likely_complete,0.7387117708868943
4,Aaron,businessperson,choices-all-terms,likely_refer,0.7597289526742274
5,Aaron,camera operator,choices-all-terms,best_complete,0.1338222169324146
6,Aaron,camera operator,choices-all-terms,best_refer,0.190402157014277
7,Aaron,camera operator,choices-all-terms,direct,0.12089726065228622
8,Aaron,camera operator,choices-all-terms,likely_complete,0.10907652747778201
9,Aaron,camera operator,choices-all-terms,likely_refer,0.1774192765831496
10,Aaron,congressperson,choices-all-terms,best_complete,0.5134125216959599
11,Aaron,congressperson,choices-all-terms,best_refer,0.5619562966922104
12,Aaron,congressperson,choices-all-terms,direct,0.19281154634285835
13,Aaron,congressperson,choices-all-terms,likely_complete,0.4936047925925224
14,Aaron,congressperson,choices-all-terms,likely_refer,0.5315325652791615
15,Aaron,craftsperson,choices-all-terms,best_complete,0.19659657175685977
16,Aaron,craftsperson,choices-all-terms,best_refer,0.41186148760277375
17,Aaron,craftsperson,choices-all-terms,direct,0.2655903789621243
18,Aaron,craftsperson,choices-all-terms,likely_complete,0.3488824168705699
19,Aaron,craftsperson,choices-all-terms,likely_refer,0.51135200781318
20,Aaron,crewmember,choices-all-terms,best_complete,0.40947502898501914
21,Aaron,crewmember,choices-all-terms,best_refer,0.4859291593610285
22,Aaron,crewmember,choices-all-terms,direct,0.35683911290574094
23,Aaron,crewmember,choices-all-terms,likely_complete,0.3472425017316938
24,Aaron,crewmember,choices-all-terms,likely_refer,0.3900236672636433
25,Aaron,firefighter,choices-all-terms,best_complete,0.44632597457467166
26,Aaron,firefighter,choices-all-terms,best_refer,0.39478590962308435
27,Aaron,firefighter,choices-all-terms,direct,0.7459788315670016
28,Aaron,firefighter,choices-all-terms,likely_complete,0.33597195456297474
29,Aaron,firefighter,choices-all-terms,likely_refer,0.27026027342143916
30,Aaron,foreperson,choices-all-terms,best_complete,0.2928604481746392
31,Aaron,foreperson,choices-all-terms,best_refer,0.32786293345847034
32,Aaron,foreperson,choices-all-terms,direct,0.20860660124235195
33,Aaron,foreperson,choices-all-terms,likely_complete,0.2021980921725488
34,Aaron,foreperson,choices-all-terms,likely_refer,0.23312422432690152
35,Aaron,layperson,choices-all-terms,best_complete,0.4936808947738456
36,Aaron,layperson,choices-all-terms,best_refer,0.5615383913789368
37,Aaron,layperson,choices-all-terms,direct,0.45062406349648704
38,Aaron,layperson,choices-all-terms,likely_complete,0.431687118689757
39,Aaron,layperson,choices-all-terms,likely_refer,0.45092895074797995
40,Aaron,meteorologist,choices-all-terms,best_complete,0.6459035732181432
41,Aaron,meteorologist,choices-all-terms,best_refer,0.699373528942221
42,Aaron,meteorologist,choices-all-terms,direct,0.7188125092414976
43,Aaron,meteorologist,choices-all-terms,likely_complete,0.6859588815541718
44,Aaron,meteorologist,choices-all-terms,likely_refer,0.6572623403285104
45,Aaron,police officer,choices-all-terms,best_complete,0.44648702076721114
