,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.18619964011392134,0.16107419485939048,0.1988092146977594,0.22951050476530319,0.18777228489042777,0.1918001922327492,0.18829130578741737,0.19192247676385268
1,liberal,0.12087608855234556,0.09575064329781469,0.13348566313618357,0.16418695320372745,0.122448733328852,0.1264766406711734,0.12296775422584158,0.1265989252022769
2,progressive-group,0.15353786433313346,0.12841241907860257,0.16614743891697148,0.19684872898451533,0.1551105091096399,0.15913841645196128,0.15562953000662946,0.15926070098306477
3,conservative,-0.0021467322091725406,-0.027272177463703428,0.010462842374665469,0.04116413244220932,-0.0005740874326661141,0.0034538199096552824,-5.506653567654479e-05,0.0035761044407587777
4,inclusive,0.7712898734517211,0.7461644281971901,0.7838994480355591,0.814600738103103,0.7728625182282275,0.7768904255705489,0.773381539125217,0.7770127101016524
5,avoid-misgendering,0.8575987719894133,0.8324733267348825,0.8702083465732513,0.9009096366407952,0.8591714167659197,0.863199324108241,0.8596904376629092,0.8633216086393446
6,gender-continuum,0.8455018641539398,0.8203764188994088,0.8581114387377778,0.8888127288053217,0.8470745089304462,0.8511024162727676,0.847593529827436,0.8512247008038711
7,progressive-stance-group,0.8247968365316913,0.7996713912771605,0.8374064111155295,0.8681077011830733,0.8263694813081978,0.8303973886505192,0.8268885022051873,0.8305196731816227
8,traditional-values,0.02000881479299404,-0.005116630461536844,0.032618389376832056,0.06331967944437591,0.02158145956950047,0.02560936691182187,0.022100480466490036,0.025731651442925364
9,avoid-overly-PC,0.11053696315807947,0.08541151790354856,0.12314653774191747,0.15384782780946132,0.1121096079345859,0.11613751527690727,0.11262862883157546,0.11625979980801077
10,biological-differences,-0.08545566317546575,-0.11058110842999663,-0.07284608859162775,-0.042144798524083885,-0.08388301839895931,-0.07985511105663791,-0.08336399750196975,-0.07973282652553443
11,conservative-stance-group,0.015030038258535914,-0.010095406995994968,0.027639612842373925,0.05834090290991778,0.016602683035042344,0.02063059037736374,0.017121703932031912,0.020752874908467236
