context,p(reform)
accurate,0.3319906390075256
articulate,0.24372705870248046
avoid-misgendering,0.44216739722038884
avoid-overly-PC,0.291500672814286
biological-differences,0.20762935379754513
conservative,0.22667764663453102
correct,0.25446324985163155
gender-continuum,0.31964918636613976
grammatical,0.23399548368811549
inclusive,0.41046763247052154
liberal,0.25831681010233143
linguistically valid,0.252144180587638
natural,0.24600153663895816
progressive,0.2942388534676093
standard,0.24277053694800935
traditional-values,0.20771280316806504
