,name,item,context,way_of_asking,p(reform)
0,Aaron,anchor,choices-all-terms,best_complete,0.9439523863915128
1,Aaron,anchor,choices-all-terms,best_refer,0.882145055641682
2,Aaron,anchor,choices-all-terms,direct,0.6970155781358106
3,Aaron,anchor,choices-all-terms,likely_complete,0.9036943925245998
4,Aaron,anchor,choices-all-terms,likely_refer,0.8080030634034053
5,Aaron,businessperson,choices-all-terms,best_complete,0.9741763133265896
6,Aaron,businessperson,choices-all-terms,best_refer,0.99814115032703
7,Aaron,businessperson,choices-all-terms,direct,0.8157943472803008
8,Aaron,businessperson,choices-all-terms,likely_complete,0.9392924372516852
9,Aaron,businessperson,choices-all-terms,likely_refer,0.9679175241244931
10,Aaron,camera operator,choices-all-terms,best_complete,0.6112201832300136
11,Aaron,camera operator,choices-all-terms,best_refer,0.9149373566366615
12,Aaron,camera operator,choices-all-terms,direct,0.5680554069494271
13,Aaron,camera operator,choices-all-terms,likely_complete,0.6193061385754693
14,Aaron,camera operator,choices-all-terms,likely_refer,0.5040278008365012
15,Aaron,congressperson,choices-all-terms,best_complete,0.9788645585051484
16,Aaron,congressperson,choices-all-terms,best_refer,0.9781056354491698
17,Aaron,congressperson,choices-all-terms,direct,0.49677809163408665
18,Aaron,congressperson,choices-all-terms,likely_complete,0.8848617565880428
19,Aaron,congressperson,choices-all-terms,likely_refer,0.8348018675942507
20,Aaron,craftsperson,choices-all-terms,best_complete,0.7788214586676586
21,Aaron,craftsperson,choices-all-terms,best_refer,0.798071712898635
22,Aaron,craftsperson,choices-all-terms,direct,0.5948878484249522
23,Aaron,craftsperson,choices-all-terms,likely_complete,0.4490038968192101
24,Aaron,craftsperson,choices-all-terms,likely_refer,0.5241668475276136
25,Aaron,crewmember,choices-all-terms,best_complete,0.8795232012833661
26,Aaron,crewmember,choices-all-terms,best_refer,0.8782802479324272
27,Aaron,crewmember,choices-all-terms,direct,0.9349491152470778
28,Aaron,crewmember,choices-all-terms,likely_complete,0.8386892643340582
29,Aaron,crewmember,choices-all-terms,likely_refer,0.8992830242292099
30,Aaron,firefighter,choices-all-terms,best_complete,0.7870518045319979
31,Aaron,firefighter,choices-all-terms,best_refer,0.9228801119643611
32,Aaron,firefighter,choices-all-terms,direct,0.43866469889422616
33,Aaron,firefighter,choices-all-terms,likely_complete,0.6668525608232857
34,Aaron,firefighter,choices-all-terms,likely_refer,0.6239125147369334
35,Aaron,flight attendant,choices-all-terms,best_complete,0.9554948559975696
36,Aaron,flight attendant,choices-all-terms,best_refer,0.9711412538908893
37,Aaron,flight attendant,choices-all-terms,direct,0.7675196703007714
38,Aaron,flight attendant,choices-all-terms,likely_complete,0.8962448272928976
39,Aaron,flight attendant,choices-all-terms,likely_refer,0.8908407931295397
40,Aaron,foreperson,choices-all-terms,best_complete,0.8509546628233865
41,Aaron,foreperson,choices-all-terms,best_refer,0.9984666396239089
42,Aaron,foreperson,choices-all-terms,direct,0.7880727955100294
43,Aaron,foreperson,choices-all-terms,likely_complete,0.7161349043380926
44,Aaron,foreperson,choices-all-terms,likely_refer,0.6964484233658222
45,Aaron,layperson,choices-all-terms,best_complete,0.9584770805876154
46,Aaron,layperson,choices-all-terms,best_refer,0.9993156135281919
47,Aaron,layperson,choices-all-terms,direct,0.8454468601456034
48,Aaron,layperson,choices-all-terms,likely_complete,0.8483870828637766
49,Aaron,layperson,choices-all-terms,likely_refer,0.8966494695800078
50,Aaron,meteorologist,choices-all-terms,best_complete,0.29482535180449765
51,Aaron,meteorologist,choices-all-terms,best_refer,0.32762904959459405
52,Aaron,meteorologist,choices-all-terms,direct,0.480382460773114
53,Aaron,meteorologist,choices-all-terms,likely_complete,0.24495472844242006
54,Aaron,meteorologist,choices-all-terms,likely_refer,0.185989971872071
55,Aaron,police officer,choices-all-terms,best_complete,0.8948609391481063
56,Aaron,police officer,choices-all-terms,best_refer,0.9813560004915712
57,Aaron,police officer,choices-all-terms,direct,0.9821514801254195
58,Aaron,police officer,choices-all-terms,likely_complete,0.8583820041652497
59,Aaron,police officer,choices-all-terms,likely_refer,0.9071475849792017
60,Aaron,salesperson,choices-all-terms,best_complete,0.9983946381094121
61,Aaron,salesperson,choices-all-terms,best_refer,0.9995772725904919
62,Aaron,salesperson,choices-all-terms,direct,0.9304920571448904
63,Aaron,salesperson,choices-all-terms,likely_complete,0.9665278802715574
64,Aaron,salesperson,choices-all-terms,likely_refer,0.9808196508878163
65,Aaron,stunt double,choices-all-terms,best_complete,6.073601080420702e-05
66,Aaron,stunt double,choices-all-terms,best_refer,0.007194285358777963
67,Aaron,stunt double,choices-all-terms,direct,0.18842986483312282
68,Aaron,stunt double,choices-all-terms,likely_complete,4.0095877333877186e-05
69,Aaron,stunt double,choices-all-terms,likely_refer,5.42478209746791e-05
70,Adeline,anchor,choices-all-terms,best_complete,0.5022559248332846
71,Adeline,anchor,choices-all-terms,best_refer,0.503784873840562
72,Adeline,anchor,choices-all-terms,direct,0.1457696119383738
73,Adeline,anchor,choices-all-terms,likely_complete,0.5078374486879229
74,Adeline,anchor,choices-all-terms,likely_refer,0.5027319933350234
75,Adeline,businessperson,choices-all-terms,best_complete,0.6742178645295457
76,Adeline,businessperson,choices-all-terms,best_refer,0.9795720675472622
77,Adeline,businessperson,choices-all-terms,direct,0.7763690959949249
78,Adeline,businessperson,choices-all-terms,likely_complete,0.6514814589660526
79,Adeline,businessperson,choices-all-terms,likely_refer,0.6902458239226327
80,Adeline,camera operator,choices-all-terms,best_complete,0.31575209713995867
81,Adeline,camera operator,choices-all-terms,best_refer,0.16516462475106294
82,Adeline,camera operator,choices-all-terms,direct,0.7568044369369455
83,Adeline,camera operator,choices-all-terms,likely_complete,0.2664864821938933
84,Adeline,camera operator,choices-all-terms,likely_refer,0.03777082418248872
85,Adeline,congressperson,choices-all-terms,best_complete,0.17148996844055572
86,Adeline,congressperson,choices-all-terms,best_refer,0.480378527332389
87,Adeline,congressperson,choices-all-terms,direct,0.694218956027911
88,Adeline,congressperson,choices-all-terms,likely_complete,0.15450182063173537
89,Adeline,congressperson,choices-all-terms,likely_refer,0.17145664199461344
90,Adeline,craftsperson,choices-all-terms,best_complete,0.8186002348932414
91,Adeline,craftsperson,choices-all-terms,best_refer,0.9765060885939149
92,Adeline,craftsperson,choices-all-terms,direct,0.6309873313036648
93,Adeline,craftsperson,choices-all-terms,likely_complete,0.7715990775735415
94,Adeline,craftsperson,choices-all-terms,likely_refer,0.6481542908274031
95,Adeline,crewmember,choices-all-terms,best_complete,0.25718200808289615
96,Adeline,crewmember,choices-all-terms,best_refer,0.0851314599770177
97,Adeline,crewmember,choices-all-terms,direct,0.8269844533524585
98,Adeline,crewmember,choices-all-terms,likely_complete,0.1677759269400102
99,Adeline,crewmember,choices-all-terms,likely_refer,0.006142301245885738
100,Adeline,firefighter,choices-all-terms,best_complete,0.4706807800057929
101,Adeline,firefighter,choices-all-terms,best_refer,0.6341963768567247
102,Adeline,firefighter,choices-all-terms,direct,0.5342799155790688
103,Adeline,firefighter,choices-all-terms,likely_complete,0.4555474893697496
104,Adeline,firefighter,choices-all-terms,likely_refer,0.3315301222811422
105,Adeline,flight attendant,choices-all-terms,best_complete,0.8334412463410267
106,Adeline,flight attendant,choices-all-terms,best_refer,0.8919499545978132
107,Adeline,flight attendant,choices-all-terms,direct,0.8073361550334727
108,Adeline,flight attendant,choices-all-terms,likely_complete,0.8331815559821979
109,Adeline,flight attendant,choices-all-terms,likely_refer,0.8322950834344714
110,Adeline,foreperson,choices-all-terms,best_complete,0.6879084232723454
111,Adeline,foreperson,choices-all-terms,best_refer,0.9525849600220925
112,Adeline,foreperson,choices-all-terms,direct,0.7742067043213797
113,Adeline,foreperson,choices-all-terms,likely_complete,0.6480213994366781
114,Adeline,foreperson,choices-all-terms,likely_refer,0.6366537473429829
115,Adeline,layperson,choices-all-terms,best_complete,0.9677212679332055
116,Adeline,layperson,choices-all-terms,best_refer,0.9983320414895521
117,Adeline,layperson,choices-all-terms,direct,0.7880492084555147
118,Adeline,layperson,choices-all-terms,likely_complete,0.9002164985199946
119,Adeline,layperson,choices-all-terms,likely_refer,0.981296867479013
120,Adeline,meteorologist,choices-all-terms,best_complete,0.2979952855797941
121,Adeline,meteorologist,choices-all-terms,best_refer,0.2327734497050655
122,Adeline,meteorologist,choices-all-terms,direct,0.503555742007192
123,Adeline,meteorologist,choices-all-terms,likely_complete,0.26904358045613724
124,Adeline,meteorologist,choices-all-terms,likely_refer,0.14002330823821202
125,Adeline,police officer,choices-all-terms,best_complete,0.6856894582851835
126,Adeline,police officer,choices-all-terms,best_refer,0.6836521774252798
127,Adeline,police officer,choices-all-terms,direct,0.720607738951068
128,Adeline,police officer,choices-all-terms,likely_complete,0.7145512464971162
129,Adeline,police officer,choices-all-terms,likely_refer,0.5749378090414393
130,Adeline,salesperson,choices-all-terms,best_complete,0.8902968720125939
131,Adeline,salesperson,choices-all-terms,best_refer,0.9997175536707731
132,Adeline,salesperson,choices-all-terms,direct,0.987368478366457
133,Adeline,salesperson,choices-all-terms,likely_complete,0.7714129012772558
134,Adeline,salesperson,choices-all-terms,likely_refer,0.9368082587989992
135,Adeline,stunt double,choices-all-terms,best_complete,1.792668155637517e-05
136,Adeline,stunt double,choices-all-terms,best_refer,0.0011814163503015623
137,Adeline,stunt double,choices-all-terms,direct,0.2050863661818687
138,Adeline,stunt double,choices-all-terms,likely_complete,3.211540730569759e-05
139,Adeline,stunt double,choices-all-terms,likely_refer,7.814541138534879e-05
140,Alex,anchor,choices-all-terms,best_complete,0.9629264585472278
141,Alex,anchor,choices-all-terms,best_refer,0.8392737535485765
142,Alex,anchor,choices-all-terms,direct,0.4952560584428511
143,Alex,anchor,choices-all-terms,likely_complete,0.970257503880279
144,Alex,anchor,choices-all-terms,likely_refer,0.8010360095964261
145,Alex,businessperson,choices-all-terms,best_complete,0.9987128763585459
146,Alex,businessperson,choices-all-terms,best_refer,0.9999448150066031
147,Alex,businessperson,choices-all-terms,direct,0.9598369802903762
148,Alex,businessperson,choices-all-terms,likely_complete,0.9900289037818958
149,Alex,businessperson,choices-all-terms,likely_refer,0.9998409555054107
150,Alex,camera operator,choices-all-terms,best_complete,0.7941600138424931
151,Alex,camera operator,choices-all-terms,best_refer,0.917170598144879
152,Alex,camera operator,choices-all-terms,direct,0.7484714497015498
153,Alex,camera operator,choices-all-terms,likely_complete,0.7805082859974073
154,Alex,camera operator,choices-all-terms,likely_refer,0.7461486748858075
155,Alex,congressperson,choices-all-terms,best_complete,0.9970486882195916
156,Alex,congressperson,choices-all-terms,best_refer,0.9984851803468183
157,Alex,congressperson,choices-all-terms,direct,0.8195668099650324
158,Alex,congressperson,choices-all-terms,likely_complete,0.9916553109443784
159,Alex,congressperson,choices-all-terms,likely_refer,0.9981664944829017
160,Alex,craftsperson,choices-all-terms,best_complete,0.988335165102944
161,Alex,craftsperson,choices-all-terms,best_refer,0.9971714962190962
162,Alex,craftsperson,choices-all-terms,direct,0.7107255899623292
163,Alex,craftsperson,choices-all-terms,likely_complete,0.9731761854685326
164,Alex,craftsperson,choices-all-terms,likely_refer,0.9956278270772926
165,Alex,crewmember,choices-all-terms,best_complete,0.8729842579711335
166,Alex,crewmember,choices-all-terms,best_refer,0.7651359177809244
167,Alex,crewmember,choices-all-terms,direct,0.9381522396691203
168,Alex,crewmember,choices-all-terms,likely_complete,0.9118576829895279
169,Alex,crewmember,choices-all-terms,likely_refer,0.6871958712010316
170,Alex,firefighter,choices-all-terms,best_complete,0.9136782134486771
171,Alex,firefighter,choices-all-terms,best_refer,0.998631338179561
172,Alex,firefighter,choices-all-terms,direct,0.6237445249422163
173,Alex,firefighter,choices-all-terms,likely_complete,0.7903546567445762
174,Alex,firefighter,choices-all-terms,likely_refer,0.9692759308393345
175,Alex,flight attendant,choices-all-terms,best_complete,0.8714461917230852
176,Alex,flight attendant,choices-all-terms,best_refer,0.9901437012125202
177,Alex,flight attendant,choices-all-terms,direct,0.9313698534045214
178,Alex,flight attendant,choices-all-terms,likely_complete,0.8433731857293424
179,Alex,flight attendant,choices-all-terms,likely_refer,0.920847392721508
