,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.0856532049296939,-0.0068018331396279205,0.08659800540554762,0.09849448602183201,0.06604157398218316,0.06389389495967099,0.1044830453665116,0.0711946253608302
1,liberal,0.04331746558939123,-0.049137572479930586,0.04426226606524494,0.05615874668152936,0.02370583464188049,0.021558155619368326,0.06214730602620892,0.028858886020527524
2,progressive-group,0.06448533525954256,-0.027969702809779257,0.06543013573539629,0.0773266163516807,0.04487370431203182,0.04272602528951966,0.08331517569636025,0.050026755690678854
3,conservative,-0.08108550250975681,-0.17354054057907864,-0.08014070203390308,-0.06824422141761868,-0.10069713345726755,-0.10284481247977971,-0.062255662072939116,-0.09554408207862052
4,inclusive,0.3297279371811111,0.23727289911178923,0.33067273765696475,0.3425692182732491,0.3101163062336002,0.30796862721108814,0.34855777761792867,0.31526935761224734
5,avoid-misgendering,0.42113196348564097,0.32867692541631915,0.4220767639614947,0.43397324457777914,0.40152033253813024,0.39937265351561807,0.4399618039224587,0.40667338391677726
6,gender-continuum,0.4550485769464158,0.3625935388770939,0.4559933774222695,0.4678898580385538,0.435436945998905,0.4332892669763928,0.4738784173832335,0.440589997377552
7,progressive-stance-group,0.4019694925377226,0.30951445446840076,0.4029142930135763,0.41481077362986074,0.38235786159021184,0.3802101825676997,0.4207993329745403,0.38751091296885887
8,traditional-values,-0.12071894747420966,-0.21317398554353148,-0.11977414699835595,-0.10787766638207152,-0.14033057842172042,-0.14247825744423256,-0.10188910703739196,-0.13517752704307334
9,avoid-overly-PC,0.01678674393535965,-0.07566829413396214,0.017731544411213367,0.029628025027497784,-0.0028248870121510943,-0.004972566034663258,0.035616584372177344,0.002328164366495944
10,biological-differences,-0.01018911952861856,-0.10264415759794038,-0.009244319052764842,0.002652161563519572,-0.029800750476129297,-0.031948429498641455,0.008640720908199137,-0.024647699097482267
11,conservative-stance-group,-0.038040441022489525,-0.13049547909181136,-0.037095640546635805,-0.025199159930351392,-0.05765207197000027,-0.05979975099251243,-0.01921060058567183,-0.05249902059135323
